Time (msec),A/F Correction #3 (32-bit ECU) (%),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Fine Learning Knock Correction (degrees),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Learned Ignition Timing (degrees),Manifold Absolute Pressure (bar),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Roughness Monitor Cylinder #1 (misfire count),Roughness Monitor Cylinder #2 (misfire count),Roughness Monitor Cylinder #3 (misfire count),Roughness Monitor Cylinder #4 (misfire count),Vehicle Speed (kph)
81430,-0.08,2.56,5653,0.00,100.00,-1.50,86.12,4.00,1.891,242.16,0.00,0,0,0,0,72
81490,-0.08,2.79,5382,0.00,100.00,-4.00,83.86,4.00,1.951,246.19,0.00,0,0,0,0,73
81552,-0.08,2.84,5090,0.00,100.00,-5.00,84.16,3.50,2.001,238.06,0.00,0,0,0,0,74
81615,-0.08,2.93,4879,0.00,100.00,3.00,83.72,3.50,2.071,240.87,0.00,0,0,0,0,74
81677,-0.08,2.76,4936,0.00,100.00,11.50,86.00,3.50,2.131,232.35,0.00,0,0,0,0,75
81740,-0.08,2.70,5040,0.00,100.00,7.50,85.34,3.50,2.131,225.47,0.00,0,0,0,0,76
81818,-0.08,2.74,5011,0.00,100.00,12.00,84.02,3.50,2.121,228.26,0.00,0,0,0,0,77
81865,-0.08,2.73,5010,0.00,100.00,12.00,82.15,3.50,2.101,230.27,0.00,0,0,0,0,77
81927,-0.08,2.67,5026,0.00,100.00,12.00,81.88,3.50,2.091,217.20,0.00,0,0,0,0,79
82005,-0.08,2.63,5037,0.00,100.00,12.00,81.76,3.50,2.071,218.75,0.00,0,0,0,0,79
82068,-0.08,2.59,5055,0.00,100.00,12.00,81.65,3.50,2.061,221.11,0.00,0,0,0,0,80
82130,-0.08,2.63,5138,0.00,100.00,12.50,79.56,3.50,2.041,214.02,0.00,0,0,0,0,81
82193,-0.08,2.53,5179,0.00,100.00,12.50,81.81,3.50,2.031,221.88,0.00,0,0,0,0,82
82255,-0.08,2.54,5184,0.00,100.00,13.50,79.78,3.50,2.021,226.59,0.00,0,0,0,0,83
82318,-0.08,2.50,5272,0.00,100.00,14.00,81.28,3.50,2.011,219.11,0.00,0,0,0,0,84
82380,-0.08,2.53,5316,0.00,100.00,14.50,81.70,4.00,2.001,226.22,0.00,0,0,0,0,85
82443,-0.08,2.54,5330,0.00,100.00,14.00,82.38,4.00,2.001,224.60,0.00,0,0,0,0,85
82505,-0.08,2.50,5394,0.00,100.00,15.50,82.35,4.00,1.991,225.79,0.00,0,0,0,0,86
82568,-0.08,2.44,5420,0.00,100.00,15.50,84.71,4.00,1.991,230.20,0.00,0,0,0,0,87
82630,-0.08,2.52,5474,0.00,100.00,16.00,85.98,4.00,1.981,228.15,0.00,0,0,0,0,88
82693,-0.08,2.49,5554,0.00,100.00,16.00,86.55,4.00,1.971,230.98,0.00,0,0,0,0,89
82752,-0.08,2.56,5610,0.00,100.00,16.50,86.27,4.00,1.961,233.00,0.00,0,0,0,0,90
82814,-0.08,2.45,5642,0.25,100.00,17.00,84.78,4.50,1.941,231.38,0.00,0,0,0,0,90
82877,-0.08,2.49,5684,0.25,100.00,17.00,85.52,4.50,1.931,230.55,0.00,0,0,0,0,91
82939,-0.08,2.42,5734,0.25,100.00,17.00,86.25,4.50,1.921,232.98,0.00,0,0,0,0,92
83002,-0.08,2.35,5767,0.25,100.00,17.50,86.71,4.50,1.921,232.16,0.00,0,0,0,0,93
83064,-0.08,2.40,5818,0.25,100.00,17.50,86.27,4.00,1.901,235.00,0.00,0,0,0,0,94
83127,-0.08,2.34,5859,0.25,100.00,18.00,87.59,4.00,1.891,238.23,0.00,0,0,0,0,95
83189,-0.08,2.48,5898,0.25,100.00,18.00,86.88,4.00,1.881,236.60,0.00,0,0,0,0,95
83252,-0.08,2.41,5885,0.25,100.00,18.00,87.32,4.00,1.871,237.81,0.00,0,0,0,0,96
83314,-0.08,2.35,5922,0.75,100.00,19.00,87.32,4.50,1.861,231.73,0.00,0,0,0,0,97
83377,-0.08,2.41,6012,0.75,100.00,19.00,85.35,4.50,1.861,243.47,0.00,0,0,0,0,98
83439,-0.08,2.43,6060,0.75,100.00,19.00,88.06,4.50,1.841,243.08,0.00,0,0,0,0,98
83518,-0.08,2.40,6039,0.75,100.00,19.00,87.65,4.50,1.841,242.24,0.00,0,0,0,0,99
83564,-0.08,2.29,6114,0.75,100.00,19.00,88.00,4.50,1.831,237.78,0.00,0,0,0,0,100
83643,-0.08,2.25,5756,0.75,100.00,19.00,84.62,5.00,1.821,225.71,0.00,0,0,0,0,101
83705,-0.08,2.20,6132,0.75,100.00,19.50,87.20,4.50,1.811,229.26,0.00,0,0,0,0,101
83758,-0.08,2.27,6372,0.75,100.00,20.00,86.96,4.50,1.791,238.16,0.00,0,0,0,0,102
83820,-0.08,2.34,6196,1.00,100.00,20.00,84.28,5.00,1.791,243.83,0.00,0,0,0,0,103
83883,-0.08,2.32,6236,1.00,100.00,20.00,86.61,5.00,1.791,242.60,0.00,0,0,0,0,103
83945,-0.08,2.26,6296,1.00,100.00,20.50,87.54,5.00,1.791,237.74,0.00,0,0,0,0,104
84008,-0.08,2.24,6344,1.00,100.00,21.00,85.17,5.00,1.791,231.25,0.00,0,0,0,0,105
84070,-0.08,2.29,6393,1.00,100.00,20.50,85.87,5.00,1.781,239.35,0.00,0,0,0,0,106
84133,-0.08,2.25,6426,1.00,100.00,20.50,87.24,5.50,1.781,239.74,0.00,0,0,0,0,106
84195,-0.08,2.24,6436,1.00,100.00,20.50,86.39,5.50,1.781,238.52,0.00,0,0,0,0,107
84258,-0.08,2.16,6448,1.00,100.00,21.00,87.37,5.50,1.741,240.13,0.00,0,0,0,0,107
84336,-0.08,2.15,6477,1.00,100.00,21.00,85.76,5.50,1.741,238.51,0.00,0,0,0,0,108
84398,-0.08,2.13,6506,1.00,100.00,21.50,86.09,5.50,1.751,228.37,0.00,0,0,0,0,108
84461,-0.08,2.19,6497,1.00,100.00,3.00,84.68,5.50,1.751,236.07,0.00,0,0,0,0,109
84523,-0.08,2.29,6279,1.00,100.00,2.50,83.71,5.00,1.771,240.93,0.00,0,0,0,0,109
84579,-0.08,2.48,6031,1.00,100.00,1.50,83.02,4.50,1.861,241.72,0.00,0,0,0,0,110
84642,-0.08,2.63,5790,1.00,100.00,0.00,85.80,5.50,1.921,248.23,0.00,0,0,0,0,110
84704,-0.08,2.66,5528,1.00,100.00,-2.50,86.12,5.50,1.961,238.46,0.00,0,0,0,0,111
84767,-0.08,2.76,5156,1.00,100.00,-4.00,82.38,5.50,2.031,234.01,0.00,0,0,0,0,111
84829,-0.08,3.07,4878,1.00,100.00,-3.50,80.90,5.00,2.091,241.29,0.00,0,0,0,0,112
84892,-0.08,2.93,4736,0.00,100.00,11.50,83.62,4.00,2.181,229.14,0.00,0,0,0,0,112
84954,-0.08,1.25,4840,1.00,100.00,11.50,62.34,5.00,1.661,71.42,0.00,0,0,0,0,113
85017,-0.08,1.59,4473,0.00,66.67,24.00,23.52,5.50,0.820,99.23,0.00,0,0,0,0,113
85079,-0.08,0.63,4311,0.00,33.33,26.00,18.33,3.50,0.540,66.05,0.00,0,0,0,0,113
85142,0.16,0.50,4176,0.00,33.33,31.50,16.13,1.00,0.430,54.67,0.00,0,0,0,0,113
85204,0.16,0.20,4103,0.00,33.33,31.00,13.86,0.00,0.370,20.76,0.00,0,0,0,0,113
85267,0.23,0.18,4059,0.00,33.33,31.50,11.26,0.00,0.340,11.90,0.00,0,0,0,0,113
85329,0.23,0.17,4076,0.00,33.33,33.50,8.78,0.00,0.310,11.90,0.00,0,0,0,0,113
85392,0.23,0.17,4138,0.00,33.33,31.50,7.88,0.00,0.280,11.51,0.00,0,0,0,0,113
85454,0.23,0.17,4138,0.00,33.33,30.00,0.00,0.00,0.270,11.51,0.00,0,0,0,0,113
85517,0.23,0.18,4052,0.00,33.33,30.00,0.00,0.00,0.270,11.79,0.00,0,0,0,0,113
85595,0.23,0.18,4018,0.00,33.33,30.00,0.00,0.00,0.270,12.40,0.00,0,0,0,0,113
85657,0.23,0.19,4035,0.00,33.33,30.00,0.00,0.00,0.270,12.94,0.00,0,0,0,0,112
85720,0.23,0.19,4027,0.00,33.33,30.00,0.00,0.00,0.270,12.94,0.00,0,0,0,0,112
85782,0.23,0.19,3990,0.00,33.33,30.00,0.00,0.00,0.270,12.88,0.00,0,0,0,0,112
85845,0.23,0.19,3990,0.00,33.33,30.00,0.00,0.00,0.260,12.88,0.00,0,0,0,0,112
85907,0.23,0.19,4018,0.00,33.33,30.00,0.00,0.00,0.260,12.52,0.00,0,0,0,0,112
85970,0.23,0.19,4013,0.00,33.33,30.00,0.00,0.00,0.250,12.76,0.00,0,0,0,0,112
86032,0.23,0.19,3999,0.00,33.33,30.00,0.00,0.00,0.250,12.76,0.00,0,0,0,0,111
86095,0.23,0.19,3949,0.00,33.33,30.00,0.00,0.00,0.250,12.88,0.00,0,0,0,0,111
86157,0.23,0.19,3934,0.00,33.33,30.00,0.00,0.00,0.250,12.82,0.00,0,0,0,0,111
86220,0.23,0.20,3924,0.00,33.33,30.00,0.00,0.00,0.250,13.24,0.00,0,0,0,0,110
86279,0.23,0.20,3947,0.00,33.33,30.00,0.00,0.00,0.250,12.88,0.00,0,0,0,0,110
86341,0.23,0.20,3938,0.00,33.33,30.00,0.00,0.00,0.250,12.88,0.00,0,0,0,0,110
86404,0.23,0.20,3926,0.00,33.33,30.00,0.00,0.00,0.250,12.58,0.00,0,0,0,0,109
86466,0.23,0.19,3914,0.00,33.33,30.00,0.00,0.00,0.250,12.23,0.00,0,0,0,0,109
86529,0.23,0.19,3902,0.00,33.33,30.00,0.00,0.00,0.240,11.95,0.00,0,0,0,0,109
86591,0.23,0.18,3856,0.00,33.33,30.00,0.00,0.00,0.240,11.51,0.00,0,0,0,0,108
86654,0.23,0.19,3838,0.00,33.33,30.00,0.00,0.00,0.240,12.12,0.00,0,0,0,0,108
86716,0.23,0.19,3820,0.00,33.33,30.00,0.00,0.00,0.240,12.29,0.00,0,0,0,0,107
86779,0.23,0.20,3802,0.00,33.33,30.00,0.00,0.00,0.240,12.40,0.00,0,0,0,0,107
86841,0.23,0.19,3785,0.00,33.33,30.00,0.00,0.00,0.240,12.01,0.00,0,0,0,0,107
86913,0.23,0.19,3768,0.00,33.33,30.00,0.00,0.00,0.240,11.84,0.00,0,0,0,0,106
86980,0.23,0.19,3754,0.00,33.33,30.00,0.00,0.00,0.240,11.68,0.00,0,0,0,0,106
87031,0.23,0.18,3769,0.00,33.33,30.00,0.00,0.00,0.240,11.56,0.00,0,0,0,0,105
87094,0.23,0.19,3754,0.00,33.33,30.00,0.00,0.00,0.240,11.79,0.00,0,0,0,0,105
87156,0.23,0.19,3736,0.00,33.33,30.00,0.00,0.00,0.240,11.68,0.00,0,0,0,0,104
87219,0.23,0.19,3716,0.00,33.33,30.00,0.00,0.00,0.240,11.62,0.00,0,0,0,0,104
87281,0.23,0.19,3698,0.00,33.33,30.00,0.00,0.00,0.240,11.68,0.00,0,0,0,0,104
87359,0.23,0.19,3655,0.00,33.33,30.00,0.00,0.00,0.240,11.29,0.00,0,0,0,0,103
87422,0.23,0.18,3636,0.00,33.33,30.00,0.00,0.00,0.240,11.23,0.00,0,0,0,0,103
87484,0.23,0.19,3616,0.00,33.33,30.00,0.00,0.00,0.240,11.40,0.00,0,0,0,0,102
87547,0.23,0.19,3626,0.00,33.33,30.00,0.00,0.00,0.250,11.45,0.00,0,0,0,0,102
87609,0.23,0.19,3606,0.00,33.33,30.00,0.00,0.00,0.250,11.34,0.00,0,0,0,0,101
87672,0.23,0.18,3566,0.00,33.33,30.00,0.00,0.00,0.250,11.18,0.00,0,0,0,0,101
87734,0.23,0.18,3546,0.00,33.33,30.00,0.00,0.00,0.250,10.96,0.00,0,0,0,0,100
87797,0.23,0.19,3553,0.00,33.33,30.00,0.00,0.00,0.250,11.07,0.00,0,0,0,0,100
87859,0.23,0.19,3533,0.00,33.33,30.00,0.00,0.00,0.250,11.23,0.00,0,0,0,0,99
87922,0.23,0.19,3492,0.00,33.33,30.00,0.00,0.00,0.250,11.07,0.00,0,0,0,0,99
87984,0.23,0.19,3502,0.00,33.33,30.00,0.00,0.00,0.250,10.74,0.00,0,0,0,0,98
88047,0.23,0.19,3485,0.00,33.33,30.00,0.00,0.00,0.250,10.96,0.00,0,0,0,0,98
88106,0.23,0.19,3443,0.00,33.33,30.00,0.00,0.00,0.250,11.07,0.00,0,0,0,0,97
88169,0.23,0.19,3448,0.00,33.33,30.00,0.00,0.00,0.250,10.85,0.00,0,0,0,0,97
88231,0.23,0.19,3404,0.00,33.33,30.00,0.00,0.00,0.250,10.90,0.00,0,0,0,0,96
88294,0.23,0.19,3387,0.00,33.33,30.00,0.00,0.00,0.250,10.63,0.00,0,0,0,0,96
88356,0.23,0.19,3391,0.00,33.33,30.00,0.00,0.00,0.250,10.68,0.00,0,0,0,0,96
88419,0.23,0.19,3350,0.00,33.33,30.00,0.00,0.00,0.250,10.63,0.00,0,0,0,0,95
88481,0.23,0.19,3358,0.00,33.33,30.00,0.00,0.00,0.250,10.37,0.00,0,0,0,0,95
88544,0.23,0.19,3317,0.00,33.33,30.00,0.00,0.00,0.250,10.42,0.00,0,0,0,0,94
88606,0.23,0.19,3324,0.00,33.33,30.00,0.00,0.00,0.250,10.42,0.00,0,0,0,0,94
88669,0.23,0.19,3285,0.00,33.33,30.00,0.00,0.00,0.250,10.42,0.00,0,0,0,0,93
88731,0.23,0.19,3292,0.00,33.33,30.00,0.00,0.00,0.250,10.42,0.00,0,0,0,0,93
88794,0.23,0.19,3249,0.00,33.33,30.00,0.00,0.00,0.250,10.47,0.00,0,0,0,0,92
88856,0.23,0.19,3232,0.00,33.33,30.00,0.00,0.00,0.250,10.27,0.00,0,0,0,0,92
88919,0.23,0.19,3235,0.00,33.33,30.00,0.00,0.00,0.250,10.01,0.00,0,0,0,0,91
88981,0.23,0.19,3192,0.00,33.33,30.00,0.00,0.00,0.250,9.96,0.00,0,0,0,0,91
89044,0.23,0.18,3194,0.00,33.33,29.50,0.00,0.00,0.250,9.51,0.00,0,0,0,0,91
89122,0.23,0.19,3176,0.00,33.33,29.50,0.00,0.00,0.250,10.06,0.00,0,0,0,0,90
89184,0.23,0.19,3134,0.00,33.33,29.00,0.00,0.00,0.260,10.01,0.00,0,0,0,0,90
89247,0.23,0.19,3117,0.00,33.33,29.00,0.00,0.00,0.260,10.06,0.00,0,0,0,0,89
89309,0.23,0.20,3121,0.00,33.33,28.50,0.00,0.00,0.260,10.32,0.00,0,0,0,0,89
89365,0.23,0.20,3104,0.00,33.33,28.50,0.00,0.00,0.260,10.22,0.00,0,0,0,0,88
89427,0.23,0.20,3062,0.00,33.33,28.00,0.00,0.00,0.260,10.27,0.00,0,0,0,0,88
89490,0.23,0.20,3047,0.00,33.33,28.00,0.00,0.00,0.260,9.96,0.00,0,0,0,0,88
89552,0.23,0.20,3050,0.00,33.33,28.00,0.00,0.00,0.270,9.91,0.00,0,0,0,0,87
89615,0.23,0.20,3033,0.00,33.33,28.00,0.00,0.00,0.260,9.96,0.00,0,0,0,0,86
89677,0.23,0.20,3015,0.00,33.33,27.50,0.00,0.00,0.260,9.76,0.00,0,0,0,0,86
89740,0.23,0.20,2974,0.00,33.33,27.50,0.00,0.00,0.260,9.71,0.00,0,0,0,0,86
89802,0.23,0.19,2958,0.00,33.33,27.00,0.00,0.00,0.260,9.41,0.00,0,0,0,0,85
89865,0.23,0.19,2940,0.00,33.33,26.50,0.00,0.00,0.260,9.35,0.00,0,0,0,0,85
89927,0.23,0.20,2924,0.00,33.33,26.50,0.00,0.00,0.260,9.66,0.00,0,0,0,0,84
89990,0.23,0.19,2905,0.00,33.33,26.00,0.00,0.00,0.260,9.25,0.00,0,0,0,0,84
90052,0.23,0.20,2906,0.00,33.33,26.00,0.00,0.00,0.260,9.61,0.00,0,0,0,0,83
90130,0.23,0.19,2887,0.00,33.33,26.00,0.00,0.00,0.260,9.20,0.00,0,0,0,0,83
90193,0.23,0.19,2870,0.00,33.33,25.50,0.00,0.00,0.260,9.41,0.00,0,0,0,0,83
90255,0.23,0.20,2850,0.00,33.33,25.50,0.00,0.00,0.260,9.10,0.00,0,0,0,0,82
90318,0.23,0.18,2832,0.00,33.33,25.00,0.00,0.00,0.250,8.63,0.00,0,0,0,0,82
90380,0.23,0.18,2795,0.00,33.33,25.00,0.00,0.00,0.250,8.58,0.00,0,0,0,0,81
90443,0.23,0.19,2776,0.00,33.33,24.50,0.00,0.00,0.250,8.86,0.00,0,0,0,0,81
90505,0.23,0.20,2756,0.00,33.33,24.50,0.00,0.00,0.250,9.00,0.00,0,0,0,0,80
90568,0.23,0.20,2738,0.00,33.33,24.50,0.00,0.00,0.250,8.81,0.00,0,0,0,0,80
90630,0.23,0.20,2718,0.00,33.33,24.00,0.00,0.00,0.250,8.86,0.00,0,0,0,0,79
90697,0.23,0.20,2721,0.00,33.33,24.00,0.00,0.00,0.250,9.05,0.00,0,0,0,0,79
90760,0.23,0.20,2700,0.00,33.33,23.50,0.00,0.00,0.240,8.72,0.00,0,0,0,0,78
90822,0.23,0.20,2680,0.00,33.33,23.00,0.00,0.00,0.240,8.76,0.00,0,0,0,0,78
90885,0.23,0.20,2642,0.00,33.33,23.00,0.00,0.00,0.240,8.58,0.00,0,0,0,0,77
90947,0.23,0.19,2623,0.00,33.33,23.00,0.00,0.00,0.240,8.35,0.00,0,0,0,0,77
91010,0.23,0.19,2626,0.00,33.33,23.00,0.00,0.00,0.240,7.98,0.00,0,0,0,0,77
91072,0.23,0.19,2605,0.00,33.33,22.50,0.00,0.00,0.240,8.07,0.00,0,0,0,0,76
91135,0.23,0.19,2570,0.00,33.33,22.00,0.00,0.00,0.240,8.21,0.00,0,0,0,0,76
91197,0.23,0.19,2549,0.00,33.33,22.00,0.00,0.00,0.240,7.93,0.00,0,0,0,0,75
91260,0.23,0.18,2550,0.00,33.33,21.50,0.00,0.00,0.240,7.79,0.00,0,0,0,0,75
91322,0.23,0.19,2514,0.00,33.33,21.50,0.00,0.00,0.230,8.07,0.00,0,0,0,0,74
91385,0.23,0.19,2493,0.00,33.33,21.50,0.00,0.00,0.230,8.12,0.00,0,0,0,0,74
91448,0.23,0.19,2494,0.00,33.33,21.00,0.00,0.00,0.230,7.89,0.00,0,0,0,0,74
91510,0.23,0.19,2456,0.00,33.33,21.00,0.00,0.00,0.230,7.79,0.00,0,0,0,0,73
91573,0.23,0.19,2458,0.00,33.33,20.50,0.00,0.00,0.230,7.61,0.00,0,0,0,0,73
91635,0.23,0.18,2422,0.00,33.33,20.50,0.00,0.00,0.230,7.47,0.00,0,0,0,0,72
91698,0.23,0.18,2420,0.00,33.33,20.00,0.00,0.00,0.230,7.61,0.00,0,0,0,0,72
91760,0.23,0.19,2382,0.00,33.33,20.00,0.00,0.00,0.230,7.47,0.00,0,0,0,0,71
91823,0.23,0.18,2381,0.00,33.33,20.00,0.00,0.00,0.230,7.34,0.00,0,0,0,0,71
91885,0.23,0.19,2344,0.00,33.33,19.50,0.00,0.00,0.230,7.21,0.00,0,0,0,0,71
91948,0.23,0.19,2344,0.00,33.33,19.50,0.00,0.00,0.230,7.21,0.00,0,0,0,0,70
92010,0.23,0.18,2307,0.00,33.33,19.50,0.00,0.00,0.230,7.00,0.00,0,0,0,0,70
92073,0.23,0.18,2305,0.00,33.33,19.00,0.00,0.00,0.230,7.13,0.00,0,0,0,0,69
92135,0.23,0.19,2269,0.00,33.33,19.00,0.00,0.00,0.230,7.13,0.00,0,0,0,0,69
92197,0.23,0.19,2254,0.00,33.33,19.00,0.00,0.00,0.230,6.96,0.00,0,0,0,0,68
92260,0.23,0.19,2252,0.00,33.33,18.50,0.00,0.00,0.230,6.92,0.00,0,0,0,0,68
92322,0.23,0.18,2214,0.00,33.33,18.50,0.00,0.00,0.230,6.70,0.00,0,0,0,0,67
92385,0.23,0.18,2198,0.00,33.33,18.50,0.00,0.00,0.230,6.58,0.00,0,0,0,0,67
92447,0.23,0.18,2194,0.00,33.33,18.50,0.00,0.00,0.230,6.49,0.00,0,0,0,0,67
92510,0.23,0.18,2155,0.00,33.33,18.00,0.00,0.00,0.230,6.58,0.00,0,0,0,0,66
92572,0.23,0.18,2137,0.00,33.33,18.00,0.00,0.00,0.230,6.49,0.00,0,0,0,0,66
92635,0.23,0.18,2131,0.00,33.33,18.00,0.00,0.00,0.230,6.24,0.00,0,0,0,0,65
92697,0.23,0.18,2115,0.00,33.33,17.50,0.00,0.00,0.230,6.08,0.00,0,0,0,0,65
92760,0.23,0.17,2099,0.00,33.33,17.50,0.00,0.00,0.230,6.09,0.00,0,0,0,0,64
92838,0.23,0.18,2062,0.00,33.33,17.50,0.00,0.00,0.230,6.08,0.00,0,0,0,0,64
92891,0.23,0.18,2046,0.00,33.33,17.50,0.00,0.00,0.230,5.94,0.00,0,0,0,0,63
92953,0.23,0.17,2028,0.00,33.33,17.00,0.00,0.00,0.230,5.71,0.00,0,0,0,0,63
93016,0.23,0.17,2019,0.00,33.33,17.00,0.00,0.00,0.230,5.61,0.00,0,0,0,0,63
93078,0.23,0.17,1999,0.00,33.33,17.00,0.00,0.00,0.230,5.74,0.00,0,0,0,0,62
93141,0.23,0.17,1980,0.00,33.33,16.50,0.00,0.00,0.230,5.51,0.00,0,0,0,0,62
93203,0.23,0.16,1961,0.00,33.33,16.50,0.00,0.00,0.230,5.34,0.00,0,0,0,0,61
93274,0.23,0.16,1942,0.00,33.33,16.50,0.00,0.00,0.230,5.27,0.00,0,0,0,0,61
93337,0.23,0.16,1921,0.00,33.33,16.50,0.00,0.00,0.230,5.14,0.00,0,0,0,0,60
93399,0.23,0.16,1902,0.00,33.33,16.50,0.00,0.00,0.230,4.97,0.00,0,0,0,0,60
93462,0.23,0.16,1880,0.00,33.33,16.50,0.00,0.00,0.230,4.81,0.00,0,0,0,0,59
93524,0.23,0.15,1860,0.00,33.33,16.00,0.00,0.00,0.230,4.84,0.00,0,0,0,0,59
93583,0.23,0.16,1837,0.00,33.33,16.00,0.00,0.00,0.230,4.71,0.00,0,0,0,0,58
93646,0.23,0.16,1815,0.00,33.33,16.00,0.00,0.00,0.230,4.77,0.00,0,0,0,0,58
93708,0.23,0.16,1782,0.00,33.33,16.00,0.00,0.00,0.230,4.77,0.00,0,0,0,0,58
93781,0.23,0.16,1760,0.00,33.33,16.00,0.00,0.00,0.220,4.64,0.00,0,0,0,0,57
93844,0.23,0.16,1736,0.00,33.33,16.00,0.00,0.00,0.220,4.58,0.00,0,0,0,0,57
93906,0.23,0.16,1732,0.00,33.33,15.50,0.00,0.00,0.220,4.51,0.00,0,0,0,0,56
93969,0.23,0.16,1707,0.00,33.33,15.50,0.00,0.00,0.220,4.37,0.00,0,0,0,0,56
94031,0.23,0.15,1682,0.00,33.33,15.50,0.00,0.00,0.210,4.23,0.00,0,0,0,0,55
94094,0.23,0.15,1648,0.00,33.33,15.50,0.00,0.00,0.210,4.12,0.00,0,0,0,0,55
94156,0.23,0.15,1622,0.00,33.33,15.50,0.00,0.00,0.210,4.02,0.00,0,0,0,0,54
94219,0.23,0.15,1616,0.00,33.33,15.00,0.00,0.00,0.210,4.00,0.00,0,0,0,0,54
94281,0.23,0.15,1584,0.00,33.33,15.00,0.00,0.00,0.200,4.02,0.00,0,0,0,0,54
94344,0.23,0.15,1558,0.00,33.33,15.00,0.00,0.00,0.200,3.89,0.00,0,0,0,0,53
94406,0.23,0.15,1551,0.00,33.33,15.00,0.00,0.00,0.200,3.85,0.00,0,0,0,0,53
94469,0.23,0.15,1518,0.00,33.33,15.00,0.00,0.00,0.200,3.81,0.00,0,0,0,0,52
94531,0.23,0.15,1509,0.00,33.33,15.00,0.00,0.00,0.200,3.79,0.00,0,0,0,0,52
94594,0.23,0.15,1476,0.00,33.33,15.00,0.00,0.00,0.200,3.77,0.00,0,0,0,0,52
94656,0.23,0.15,1466,0.00,33.33,15.00,0.00,0.00,0.200,3.71,0.00,0,0,0,0,51
94719,0.23,0.16,1432,0.00,33.33,15.00,0.00,0.00,0.210,3.71,0.00,0,0,0,0,51
94781,0.23,0.16,1421,0.00,33.33,15.00,0.00,0.00,0.210,3.67,0.00,0,0,0,0,50
94844,0.23,0.16,1386,0.00,33.33,15.00,0.00,0.00,0.210,3.65,0.00,0,0,0,0,50
94906,0.23,0.16,1374,0.00,33.33,15.00,0.00,0.00,0.210,3.57,0.00,0,0,0,0,49
94969,0.23,0.16,1337,0.00,33.33,15.00,0.00,0.00,0.210,3.45,0.00,0,0,0,0,49
95031,0.23,0.16,1323,0.00,33.33,15.00,0.00,0.00,0.210,3.35,0.00,0,0,0,0,49
95094,0.23,0.16,1306,0.00,33.33,15.00,0.00,0.00,0.210,3.35,0.00,0,0,0,0,48
95156,0.23,0.16,1268,0.00,33.33,15.00,0.00,0.00,0.210,3.35,0.00,0,0,0,0,48
95219,0.23,0.16,1250,0.00,33.33,15.00,0.00,0.00,0.210,3.31,0.00,0,0,0,0,47
95281,0.23,0.17,1233,0.00,33.33,15.00,0.00,0.00,0.210,3.35,0.00,0,0,0,0,47
95344,0.23,0.17,1196,0.00,33.33,15.00,0.00,0.00,0.220,3.35,0.00,0,0,0,0,46
95406,0.23,0.17,1176,0.00,33.33,15.00,0.00,0.00,0.220,3.33,0.00,0,0,0,0,46
95469,0.23,0.18,1156,0.00,33.33,15.00,0.00,0.00,0.220,3.33,0.00,0,0,0,0,46
95531,0.23,0.18,1135,0.00,33.33,15.00,0.00,0.00,0.220,3.29,0.00,0,0,0,0,45
95609,0.23,0.18,1094,0.00,33.33,15.00,0.00,0.00,0.220,3.33,0.00,0,0,0,0,45
95672,0.23,0.18,1072,0.00,33.33,15.00,0.00,0.00,0.230,3.29,0.00,0,0,0,0,44
95734,0.23,0.19,1048,0.00,33.33,15.00,0.00,0.00,0.230,3.27,0.00,0,0,0,0,44
95797,0.23,0.19,1025,0.00,33.33,15.00,0.00,0.00,0.240,3.27,0.00,0,0,0,0,43
95859,0.23,0.20,1001,0.00,33.33,15.00,0.00,0.00,0.240,3.27,0.00,0,0,0,0,43
95922,0.23,0.20,977,0.00,33.33,15.00,0.00,0.00,0.240,3.20,0.00,0,0,0,0,43
95984,0.23,0.20,960,0.00,33.33,15.00,0.00,0.00,0.240,3.08,0.00,0,0,0,0,42
96047,0.23,0.19,942,0.00,33.33,15.00,0.00,0.00,0.240,3.03,0.00,0,0,0,0,42
96109,0.23,0.20,923,0.00,33.33,-10.00,0.00,0.00,0.240,3.05,0.00,0,0,0,0,41
96172,0.23,0.20,903,0.00,33.33,-9.50,1.35,0.00,0.240,3.05,0.00,0,0,0,0,41
96234,0.23,0.21,883,0.00,33.33,-9.00,1.32,0.00,0.250,3.03,0.00,0,0,0,0,40
96297,0.23,0.21,864,0.00,33.33,-9.00,1.29,0.00,0.250,3.03,0.00,0,0,0,0,40
96359,0.23,0.21,855,0.00,33.33,-8.50,1.28,0.00,0.250,3.02,0.00,0,0,0,0,40
96422,0.23,0.21,876,0.00,33.33,-8.00,1.32,0.00,0.250,2.98,0.00,0,0,0,0,39
96484,0.23,0.20,900,0.00,33.33,-7.50,1.33,0.00,0.250,2.99,0.00,0,0,0,0,39
96547,0.23,0.20,895,0.00,33.33,-7.00,1.34,0.00,0.250,2.98,0.00,0,0,0,0,38
96609,0.23,0.20,885,0.00,33.33,-7.00,1.32,0.00,0.240,2.95,0.00,0,0,0,0,38
96672,0.23,0.21,867,0.00,33.33,-6.50,1.29,0.00,0.240,2.92,0.00,0,0,0,0,37
96734,0.23,0.21,845,0.00,33.33,-6.00,1.26,0.00,0.240,2.92,0.00,0,0,0,0,37
